2025-10-22 17:40:45 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 0h15m
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | Uptime : 0h 18m
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | Vérifications : 0
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | Alertes envoyées : 0
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | Erreurs : 0
2025-10-22 17:43:54 | INFO     | CryptoBotDaemon | ============================================================

2025-10-22 17:44:06 | INFO     | CryptoBotCLI | Configuration chargée depuis config/config.yaml
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | 🚀 CRYPTO BOT DAEMON DÉMARRÉ
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | Cryptos surveillées : BTC, ETH, SOL
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | Intervalle : 900s
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | Mode nuit : Désactivé
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | 🔍 Test de connexion Telegram...
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | ✓ Connecté au bot: @Bot_CryptoFlow_Bot
2025-10-22 17:44:06 | INFO     | CryptoBotDaemon | 📊 Génération du message de démarrage...
2025-10-22 17:44:11 | INFO     | CryptoBotDaemon |   ✓ BTC: 93347.98€
2025-10-22 17:44:13 | INFO     | CryptoBotDaemon |   ✓ ETH: 3306.99€
2025-10-22 17:44:15 | INFO     | CryptoBotDaemon |   ✓ SOL: 158.52€
2025-10-22 17:44:15 | INFO     | CryptoBotDaemon | ✅ Message de démarrage envoyé (notifications.yaml respecté)
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | Uptime : 0h 0m
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | Vérifications : 0
